Time	Type	Trial	L Mapped Diameter [mm]	R Mapped Diameter [mm]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Aux1
9193932349	SMP	1	3.5368	3.4528	953.7553	503.4156	966.1766	568.5773	
9193933501	MSG	1	# Message: Start of block_1 1
9193949044	SMP	1	3.5375	3.4495	953.3841	502.5451	966.6351	567.7008	
9193965740	SMP	1	3.5406	3.4475	952.6869	502.2851	965.7189	566.7954	
9193982435	SMP	1	3.5410	3.4431	952.5296	502.5782	965.8435	565.1257	
9193999130	SMP	1	3.5405	3.4393	951.4722	503.2283	965.3631	563.8909	
9194015825	SMP	1	3.5413	3.4369	950.4337	505.4428	966.4989	563.6411	
9194032520	SMP	1	3.5413	3.4310	949.4445	506.5511	967.9136	562.9765	
9194049215	SMP	1	3.5378	3.4303	948.1363	507.1637	969.1257	562.6750	
9194065911	SMP	1	3.5346	3.4287	948.1173	508.1987	969.6730	563.4114	
9194082606	SMP	1	3.5308	3.4289	947.9377	508.4842	965.7692	563.9287	
9194099301	SMP	1	3.5286	3.4266	947.7089	509.3473	963.7243	565.7796	
9194115996	SMP	1	3.5267	3.4223	947.7988	509.7226	963.3109	567.2050	
9194132691	SMP	1	3.5227	3.4204	947.7287	509.6603	962.0559	569.2302	
9194149386	SMP	1	3.5239	3.4201	947.4463	509.0443	961.1113	570.2289	
9194166082	SMP	1	3.5187	3.4224	947.3127	507.4623	958.1339	571.3736	
9194182777	SMP	1	3.5169	3.4193	947.7131	506.3623	955.4138	572.2113	
9194199472	SMP	1	3.5143	3.4159	948.6102	505.3723	953.4872	574.3754	
9194216167	SMP	1	3.5082	3.4136	948.7062	504.7545	950.4968	575.1125	
9194232862	SMP	1	3.5026	3.4148	949.2960	505.5818	948.0204	576.5115	
9194249557	SMP	1	3.4996	3.4150	948.2389	506.1754	947.0853	576.7575	
9194266253	SMP	1	3.4893	3.4095	947.8348	507.4476	948.5422	577.4815	
9194282948	SMP	1	3.4825	3.4039	948.3985	509.1987	948.9071	577.2843	
9194299643	SMP	1	3.4749	3.3985	948.7439	510.3602	948.1845	577.8154	
9194316338	SMP	1	3.4691	3.3950	949.1144	511.5932	948.7027	577.6938	
9194333033	SMP	1	3.4591	3.3902	950.1462	514.3609	948.0227	577.5872	
9194349729	SMP	1	3.4525	3.3886	951.5386	516.1020	947.6872	576.6298	
9194366425	SMP	1	3.4458	3.3819	952.2752	518.2526	948.2411	576.1572	
9194383117	SMP	1	3.4396	3.3782	952.4440	519.8460	948.6350	573.7404	
9194399810	SMP	1	3.4319	3.3703	952.6140	521.2210	948.9337	572.8904	
9194416503	SMP	1	3.4234	3.3649	952.0819	520.9844	949.0003	571.3171	
9194433196	SMP	1	3.4114	3.3573	953.4356	521.6671	948.2207	570.0758	
9194449888	SMP	1	3.4032	3.3557	954.4071	522.0098	947.2211	568.9002	
9194466581	SMP	1	3.3960	3.3556	954.0937	521.7660	946.5216	567.1393	
9194483274	SMP	1	3.3878	3.3512	953.0401	521.3185	945.7724	565.8873	
9194499966	SMP	1	3.3829	3.3544	953.5455	520.7364	943.5990	565.1323	
9194516659	SMP	1	3.3766	3.3519	952.7622	520.1063	940.9148	564.0364	
9194533352	SMP	1	3.3733	3.3489	952.1892	519.5875	941.2985	563.8559	
9194550045	SMP	1	3.3655	3.3464	951.0397	519.1429	940.2389	563.1590	
9194566737	SMP	1	3.3618	3.3478	950.5238	519.0203	938.8833	562.4299	
9194583430	SMP	1	3.3589	3.3439	950.3515	519.7681	937.7378	559.7873	
9194600123	SMP	1	3.3481	3.3402	950.0046	520.5839	935.5497	558.2474	
9194616816	SMP	1	3.3400	3.3404	948.5938	521.8301	935.4679	557.5052	
9194633508	SMP	1	3.3248	3.3397	946.9261	522.3346	933.6694	555.2312	
9194650201	SMP	1	3.3181	3.3377	946.0197	524.8246	932.0898	553.5270	
9194666894	SMP	1	3.3040	3.3343	945.6370	525.9974	931.3207	552.3736	
9194683587	SMP	1	3.2904	3.3377	944.6082	527.7127	931.7089	551.1654	
9194700279	SMP	1	3.2862	3.3359	944.0078	530.3524	932.9219	549.9025	
9194716972	SMP	1	3.2783	3.3334	942.3887	532.2323	932.4296	546.8483	
9194733665	SMP	1	3.2714	3.3364	941.7813	534.0518	933.3420	545.0101	
9194750358	SMP	1	3.2601	3.3378	942.3312	535.8189	933.4300	542.1266	
9194767050	SMP	1	3.2490	3.3402	942.1885	537.6365	934.4540	540.3197	
9194783743	SMP	1	3.2411	3.3400	943.1256	539.7349	935.6767	538.4001	
9194800436	SMP	1	3.2282	3.3423	943.0401	541.3466	936.1306	536.6430	
9194817129	SMP	1	3.2194	3.3365	943.3989	542.7586	937.0566	535.0227	
9194833821	SMP	1	3.2051	3.3321	943.5538	542.7473	936.7719	533.3934	
