Time	Type	Trial	L Mapped Diameter [mm]	R Mapped Diameter [mm]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Aux1
5590797417	SMP	1	2.8368	2.9572	953.8677	526.6220	958.0358	529.8717	
5590801411	MSG	1	# Message: Start of block_1 1
5590814107	SMP	1	2.8340	2.9561	955.5617	527.2200	960.4122	529.1113	
5590830798	SMP	1	2.8310	2.9515	957.1433	526.4753	962.8911	528.2669	
5590847488	SMP	1	2.8363	2.9536	957.7177	527.8298	965.2195	528.2549	
5590864178	SMP	1	2.8377	2.9549	958.0201	528.7656	966.8528	529.0994	
5590880869	SMP	1	2.8387	2.9548	958.5201	527.0359	968.3363	528.9544	
5590897559	SMP	1	2.8306	2.9560	958.4433	526.1259	967.8877	527.9566	
5590914249	SMP	1	2.8234	2.9523	957.7330	524.0916	967.1106	527.6084	
5590930940	SMP	1	2.8174	2.9503	957.9818	522.3322	966.1146	527.5187	
5590947632	SMP	1	2.8193	2.9524	957.2498	523.0301	966.0131	526.8615	
5590964324	SMP	1	2.8235	2.9476	956.2933	524.5658	966.1983	526.2038	
5590981016	SMP	1	2.8212	2.9522	956.4420	525.8544	966.3959	527.0882	
5590997708	SMP	1	2.8216	2.9570	956.5970	526.8193	966.4488	527.6414	
5591014400	SMP	1	2.8206	2.9532	956.7251	527.4528	966.7823	526.8388	
5591031092	SMP	1	2.8216	2.9562	956.7307	526.4196	966.4904	526.7168	
5591047784	SMP	1	2.8222	2.9530	956.7375	524.8503	965.6808	526.0948	
5591064477	SMP	1	2.8177	2.9560	956.8182	524.0106	964.5339	526.0402	
5591081169	SMP	1	2.8173	2.9584	956.4379	525.3369	964.9507	525.5556	
5591097862	SMP	1	2.8206	2.9645	956.4855	527.0295	965.1330	525.4295	
5591114555	SMP	1	2.8252	2.9677	954.8113	529.9471	966.1310	525.8577	
5591131249	SMP	1	2.8299	2.9721	954.0118	530.5716	966.7314	527.1351	
5591147942	SMP	1	2.8336	2.9691	953.9656	532.6691	966.4247	528.3463	
5591164635	SMP	1	2.8281	2.9660	953.9763	534.2755	966.5535	529.1053	
5591181328	SMP	1	2.8208	2.9612	953.5809	536.8039	965.8162	529.2539	
5591198022	SMP	1	2.8135	2.9524	952.9533	539.4171	964.8124	531.0026	
5591214715	SMP	1	2.8017	2.9334	953.3113	539.1545	964.2087	531.9942	
5591231408	SMP	1	2.7932	2.9177	953.6176	538.9163	964.7025	533.7468	
5591248102	SMP	1	2.7840	2.9037	953.9209	540.3994	965.6162	535.2939	
5591264795	SMP	1	2.7617	2.8893	953.1418	541.3848	965.4704	537.6775	
5591281488	SMP	1	2.7403	2.8759	953.2786	542.7369	965.9179	539.5799	
5591298181	SMP	1	2.7237	2.8650	954.0471	544.2652	966.6597	540.0779	
5591314875	SMP	1	2.7095	2.8529	954.2142	545.9870	967.6311	540.2568	
5591331568	SMP	1	2.6935	2.8434	954.7617	546.6097	968.4548	540.1005	
5591348261	SMP	1	2.6762	2.8335	955.5298	545.3504	968.0741	540.2414	
5591364955	SMP	1	2.6641	2.8180	955.6402	542.6286	968.5161	540.9603	
5591381648	SMP	1	2.6629	2.8056	955.3764	541.6223	969.1208	541.2109	
5591398341	SMP	1	2.6614	2.7986	954.7885	542.9961	969.5865	541.9862	
5591415035	SMP	1	2.6555	2.7897	953.6635	544.5192	969.8140	542.5003	
5591431728	SMP	1	2.6502	2.7830	952.7052	545.9761	970.1871	543.9200	
5591448421	SMP	1	2.6489	2.7685	952.3578	546.7217	969.9535	544.8282	
5591465114	SMP	1	2.6414	2.7623	952.1605	545.4248	970.0836	546.5666	
5591481808	SMP	1	2.6371	2.7556	952.1462	544.6258	969.0662	548.2754	
5591498501	SMP	1	2.6273	2.7488	952.9015	544.0858	968.3327	548.2593	
5591515194	SMP	1	2.6185	2.7374	952.1191	543.6376	968.3200	547.9930	
5591531888	SMP	1	2.6107	2.7321	950.5390	544.6728	969.2709	547.6691	
5591548581	SMP	1	2.6100	2.7217	950.1872	547.7557	969.8722	547.2229	
5591565274	SMP	1	2.6053	2.7212	949.8911	549.4501	968.6644	547.8164	
5591581967	SMP	1	2.6042	2.7198	950.0996	551.0201	968.2933	548.1730	
5591598661	SMP	1	2.6014	2.7192	950.9218	551.6698	968.4023	547.7780	
5591615354	SMP	1	2.6005	2.7070	952.2179	552.1588	967.5983	547.9096	
5591632047	SMP	1	2.5990	2.7119	953.6154	552.6855	967.7029	546.7721	
5591648741	SMP	1	2.5942	2.7173	954.7371	553.6502	967.4901	546.1800	
5591665434	SMP	1	2.5898	2.7184	955.5130	553.1398	967.9258	545.9701	
5591682127	SMP	1	2.5951	2.7148	954.6957	553.0257	967.6266	546.2598	
5591698820	SMP	1	2.5986	2.7095	954.5045	553.2907	966.7457	547.6996	
5591715514	SMP	1	2.6030	2.7076	954.1253	554.1946	965.8089	549.7958	
5591732207	SMP	1	2.6040	2.7029	953.2034	553.1874	965.2594	551.2183	
5591748900	SMP	1	2.6070	2.6996	952.6770	551.6852	965.5948	552.1830	
5591765594	SMP	1	2.6068	2.6993	952.6834	549.6405	965.0222	553.4038	
5591782286	SMP	1	2.5981	2.6997	951.8126	549.3352	964.5581	554.6342	
5591798979	SMP	1	2.5931	2.7021	950.6222	548.7715	964.7530	553.7620	
5591815672	SMP	1	2.5916	2.6964	949.7069	549.3419	964.4340	554.6377	
5591832365	SMP	1	2.5921	2.6876	949.1248	549.8765	963.9922	554.6826	
5591849058	SMP	1	2.5942	2.6784	948.5218	551.3992	963.7387	554.3233	
5591865751	SMP	1	2.5944	2.6674	949.3734	552.1018	963.6662	554.2871	
5591882444	SMP	1	2.5962	2.6657	950.0871	553.2315	963.9901	554.3500	
5591899136	SMP	1	2.5933	2.6678	949.8877	551.7059	962.9693	553.2220	
5591915829	SMP	1	2.5923	2.6734	949.1178	550.9206	962.1803	552.1691	
5591932522	SMP	1	2.5962	2.6809	948.6791	549.6236	961.8342	551.5868	
5591949214	SMP	1	2.6044	2.6874	947.7448	547.2395	961.6448	550.4023	
5591965907	SMP	1	2.6104	2.6919	946.0409	544.4533	960.9562	549.7785	
5591982599	SMP	1	2.6142	2.6918	946.1316	542.8081	959.3049	549.5967	
5591999291	SMP	1	2.6116	2.6911	945.2701	541.0557	958.0843	549.4388	
5592015983	SMP	1	2.6117	2.6899	944.3083	538.8474	957.0773	548.9900	
5592032675	SMP	1	2.6160	2.6886	943.1621	537.1262	955.6399	550.1353	
5592049368	SMP	1	2.6213	2.6917	941.3770	534.6174	954.6119	551.4305	
5592066060	SMP	1	2.6252	2.6962	940.1297	532.2692	953.4097	551.8348	
5592082752	SMP	1	2.6274	2.7030	939.9192	532.4790	953.4092	551.7474	
5592099444	SMP	1	2.6214	2.7061	938.8425	533.6782	953.3414	550.8475	
5592116137	SMP	1	2.6239	2.7059	938.5325	535.6935	952.5438	548.8797	
5592132829	SMP	1	2.6324	2.7037	938.0492	537.6703	950.9993	550.4905	
5592141381	MSG	1	# Message: Start of block_1 2
5592149521	SMP	1	2.6342	2.7010	938.1147	537.5322	949.7739	550.8455	
5592166213	SMP	1	2.6393	2.7004	937.3392	538.1039	949.5595	551.8650	
5592182906	SMP	1	2.6452	2.6986	936.4208	540.0715	949.4145	552.3253	
5592199598	SMP	1	2.6446	2.6935	935.6137	542.4262	949.1936	553.0296	
5592216290	SMP	1	2.6384	2.6971	935.0189	543.7069	948.5776	551.4515	
5592232982	SMP	1	2.6349	2.6987	934.8774	544.9927	948.6586	550.3747	
5592249675	SMP	1	2.6371	2.6979	934.2941	544.7338	948.9773	549.9457	
5592266367	SMP	1	2.6353	2.6972	935.0397	544.2422	948.9688	549.0059	
5592283059	SMP	1	2.6380	2.7006	935.3721	543.5805	948.2205	549.4401	
5592299751	SMP	1	2.6363	2.7055	935.7130	543.9146	948.3020	550.3399	
5592316444	SMP	1	2.6364	2.7063	935.6463	544.2588	949.1833	549.1214	
5592333136	SMP	1	2.6369	2.7068	935.5092	545.9784	949.9969	547.2306	
5592349828	SMP	1	2.6342	2.7006	936.7330	546.1850	949.9847	545.9675	
5592366520	SMP	1	2.6326	2.6970	937.8649	545.4033	950.7375	544.3025	
