Time	Type	Trial	L Mapped Diameter [mm]	R Mapped Diameter [mm]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Aux1
7747996184	SMP	1	4.6350	4.7605	924.4610	603.1827	921.9702	659.7475	
7748012879	SMP	1	4.6259	4.7581	923.8960	604.4583	921.6859	660.6360	
7748029573	SMP	1	4.6157	4.7593	923.3627	605.8871	921.7310	661.7140	
7748046268	SMP	1	4.6106	4.7541	922.9786	607.7948	921.0907	662.2435	
7748062963	SMP	1	4.6122	4.7507	922.4159	608.5989	919.9553	662.9455	
7748079657	SMP	1	4.6161	4.7526	924.2885	608.9971	919.6321	663.2692	
7748096352	SMP	1	4.6189	4.7553	924.5462	609.8485	919.3160	662.8808	
7748113047	SMP	1	4.6204	4.7502	924.2135	610.0480	918.8055	662.6969	
7748129741	SMP	1	4.6237	4.7548	923.8206	609.7276	918.1819	663.2804	
7748146436	SMP	1	4.6229	4.7584	923.3834	608.7540	918.2224	663.6226	
7748163131	SMP	1	4.6188	4.7604	923.5798	608.8445	918.4988	663.2991	
7748179825	SMP	1	4.6189	4.7640	924.3541	608.7431	918.3748	662.9508	
7748196520	SMP	1	4.6145	4.7703	924.3577	608.3921	918.8007	662.4978	
7748213215	SMP	1	4.6142	4.7743	924.0953	608.8338	918.5841	662.0254	
7748229910	SMP	1	4.6145	4.7834	923.7234	608.9341	918.7463	662.0900	
7748246605	SMP	1	4.6189	4.7839	924.3480	609.3444	920.3576	661.7483	
7748263300	SMP	1	4.6224	4.7910	922.9539	610.0093	920.9685	661.4862	
7748279995	SMP	1	4.6191	4.7935	922.4227	609.8993	922.2987	661.4024	
7748296690	SMP	1	4.6210	4.8010	920.8787	611.5106	922.1441	661.2060	
7748313385	SMP	1	4.6194	4.8093	920.3697	611.4223	923.1087	660.1282	
7748330079	SMP	1	4.6147	4.8185	919.5675	612.0850	923.0950	659.3617	
7736343341	MSG	1	# Message: Start of trial 1
7736344547	SMP	1	4.7469	4.8503	919.3109	569.0897	916.6551	621.4666	
7736361238	SMP	1	4.7504	4.8525	919.2050	567.9083	917.5049	621.4320	
7736377929	SMP	1	4.7514	4.8560	919.5212	567.5795	919.0230	621.8108	
7736394620	SMP	1	4.7540	4.8578	919.5486	567.1914	919.6900	621.9430	
7736411311	SMP	1	4.7553	4.8606	920.0792	566.8825	919.4371	621.8547	
7736428002	SMP	1	4.7567	4.8623	920.0746	566.7402	919.9930	621.1095	
7736444693	SMP	1	4.7627	4.8679	920.2879	567.9299	921.0593	621.1156	
7736461384	SMP	1	4.7645	4.8711	920.2359	568.1002	921.3534	620.8530	
7736478075	SMP	1	4.7665	4.8716	919.5776	568.0887	921.6869	619.9361	
7736494766	SMP	1	4.7688	4.8722	918.4309	569.0230	922.6105	619.1211	
7736511457	SMP	1	4.7710	4.8731	916.9427	569.0685	923.4009	618.6067	
