Time	Type	Trial	L Mapped Diameter [mm]	R Mapped Diameter [mm]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Aux1
4099273664	SMP	1	3.2927	3.4043	953.9416	480.5651	946.7573	496.7267	
4099290356	SMP	1	3.2894	3.4028	954.0552	486.2923	949.1177	482.4575	
4099307048	SMP	1	3.2921	3.4116	954.2670	485.7183	949.7103	496.8612	
4099323740	SMP	1	3.3025	3.4197	955.4799	477.6857	949.9910	488.1043	
4099340432	SMP	1	3.3026	3.4239	956.6448	472.0384	951.3249	481.0008	
4099357124	SMP	1	3.3082	3.4317	957.3736	470.2583	953.2136	474.5192	
4099373816	SMP	1	3.3129	3.4358	959.7014	467.2629	954.2890	467.3170	
4099390508	SMP	1	3.3136	3.4389	961.7341	462.2432	953.9941	466.7015	
4099407200	SMP	1	3.3217	3.4408	963.9698	462.9740	954.0073	464.9354	
4099423892	SMP	1	3.3274	3.4483	965.6049	462.9278	954.9256	463.3766	
4099440584	SMP	1	3.3284	3.4500	964.8623	467.0337	952.6219	469.8074	
4099457276	SMP	1	3.3283	3.4525	963.5691	475.8661	950.5251	472.8652	
4099473968	SMP	1	3.3248	3.4556	962.5146	476.5134	948.4888	473.2374	
4099490660	SMP	1	3.3220	3.4551	962.6916	475.4919	945.9856	474.1760	
4099507352	SMP	1	3.3195	3.4550	960.7048	477.9800	945.7566	475.4635	
4099524044	SMP	1	3.3152	3.4564	959.0686	480.0402	943.2980	478.1721	
4099540735	SMP	1	3.3123	3.4673	956.7240	481.1221	941.6075	479.6647	
4099557427	SMP	1	3.3157	3.4681	955.6904	483.7699	939.4760	483.3600	
4099574119	SMP	1	3.3128	3.4692	954.1509	487.2255	938.4662	486.6481	
4099590811	SMP	1	3.3105	3.4706	951.8795	488.2359	938.0087	490.6702	
4099607503	SMP	1	3.3049	3.4722	950.3223	490.4347	937.4205	494.3769	
4099624195	SMP	1	3.3059	3.4756	950.8052	490.1097	937.5294	493.0457	
4099640887	SMP	1	3.3135	3.4749	953.9211	491.6799	937.7481	492.4109	
4099657579	SMP	1	3.3143	3.4732	954.0749	491.6727	937.8650	493.1477	
4099674271	SMP	1	3.3134	3.4742	954.4784	492.0259	940.6514	494.9389	
4099690963	SMP	1	3.3096	3.4757	953.4806	493.7360	941.2087	495.4990	
4099707655	SMP	1	3.3050	3.4739	953.0293	494.4977	942.6585	497.0124	
4099724347	SMP	1	3.2999	3.4731	953.7982	495.6181	943.4656	497.4317	
4099741039	SMP	1	3.2962	3.4731	953.3194	497.0814	944.1633	497.2732	
4099757731	SMP	1	3.2930	3.4759	953.6489	498.5998	946.5663	496.8007	
4099774423	SMP	1	3.2882	3.4798	955.9411	500.6401	947.6666	496.5091	
4099791115	SMP	1	3.2827	3.4842	956.7198	501.4706	948.4806	496.9633	
4099807807	SMP	1	3.2817	3.4843	956.5288	501.8351	950.1571	498.3844	
4099820857	MSG	1	# Message: Start of trial 1
4099824499	SMP	1	3.2819	3.4816	955.2360	501.2409	951.3709	499.8826	
4099841194	SMP	1	3.2828	3.4810	955.1431	501.4785	952.7037	502.0227	
4099857888	SMP	1	3.2848	3.4811	954.5879	501.7298	952.4001	503.8591	
4099874582	SMP	1	3.2858	3.4788	955.2608	501.3635	952.9445	505.4462	
4099891277	SMP	1	3.2860	3.4764	955.7751	501.4394	953.4053	506.8495	
4099907971	SMP	1	3.2852	3.4754	955.6046	501.4629	954.2932	508.8414	
4099924665	SMP	1	3.2872	3.4761	955.8611	500.9413	955.2250	511.0405	
4099941360	SMP	1	3.2873	3.4787	957.3115	499.8955	955.2628	512.5511	
4099958054	SMP	1	3.2879	3.4831	955.6260	498.6797	955.1062	512.5059	
4099974748	SMP	1	3.2960	3.4828	953.4094	496.6174	953.5045	510.5793	
4099991443	SMP	1	3.3025	3.4782	952.6839	494.7883	951.0873	509.2699	
4100008137	SMP	1	3.3066	3.4768	951.7427	492.9997	947.8287	506.7462	
