## [iView]
## Converted from:	F:\tracker\RALT_None.idf
## Date:	16.01.2019 12:53:30
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	60
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	1435                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	pp                                                                                                                                                                                                                                                              
## Description:	Shock task                                                                                                                                                                                                                                                      
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(96;54)
## Calibration Point 2:	Position(1824;54)
## Calibration Point 3:	Position(96;1026)
## Calibration Point 4:	Position(1824;1026)
## Calibration Point 5:	Position(96;540)
## Calibration Point 6:	Position(960;54)
## Calibration Point 7:	Position(1824;540)
## Calibration Point 8:	Position(960;1026)
## [Geometry]
## Stimulus Dimension [mm]:	344	193
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	EYETRACKING//SMI_RED250mobile///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.4.0.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, DIAMETER, POR, MSG
## 
Time	Type	Trial	L Mapped Diameter [mm]	R Mapped Diameter [mm]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Aux1
992323822	MSG	1	# Message: Start of trial 1
992329497	SMP	1	3.7102	3.7326	954.3795	472.3878	945.7054	549.1155	
992346192	SMP	1	3.7187	3.7332	955.7391	473.3967	945.3590	549.8791	
992362886	SMP	1	3.7117	3.7359	956.5956	472.6257	945.6787	549.7782	
992379581	SMP	1	3.7114	3.7358	956.2869	471.8156	946.1705	549.7233	
992396276	SMP	1	3.7118	3.7333	954.9192	470.6382	945.6140	549.9258	
992412970	SMP	1	3.7178	3.7386	954.4674	469.7521	945.8638	549.2622	
992429665	SMP	1	3.7190	3.7339	954.6050	468.2514	946.3046	546.6126	
992446360	SMP	1	3.7158	3.7338	955.0148	467.3892	946.2572	546.2217	
992463054	SMP	1	3.7158	3.7349	955.1180	468.8503	945.8660	545.8908	
992479749	SMP	1	3.7154	3.7393	953.2078	468.4243	945.4647	546.4784	
992496444	SMP	1	3.7152	3.7428	952.6120	470.6998	945.4889	546.8850	
992513138	SMP	1	3.7169	3.7463	952.4544	470.5876	944.3003	546.8638	
992529833	SMP	1	3.7221	3.7512	951.5376	470.4040	942.8790	546.9372	
992546528	SMP	1	3.7259	3.7565	949.7075	471.1766	941.3567	547.7914	
992563223	SMP	1	3.7271	3.7632	951.2940	472.3718	939.9190	548.3279	
992579917	SMP	1	3.7301	3.7683	951.4006	473.0335	938.7353	547.1633	
992596612	SMP	1	3.7311	3.7754	951.8827	472.9539	937.5843	546.1122	
